Study,study_long,Chemical,eec,eec_source,Class,Pathway,Species,Type,Response,parameter,rfx
Shukla1985,Omran & Shukla 1985,Dichlorvos,2.33,https://archive.epa.gov/pesticides/reregistration/web/pdf/ddvp_ired.pdf,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_dich_shukla85_uncertainty
Shukla1985,Omran & Shukla 1985,Monocrotophos,21.3,https://archive.epa.gov/pesticides/reregistration/web/pdf/dicrotophos_red.pdf,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_mono_shukla85_uncertainty
Shukla1985,Omran & Shukla 1985,Carbaryl,33.5,https://doi.org/10.1645/GE-2078.1,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_carb_shukla85_uncertainty
Shukla1984,Omran & Shukla 1984,Endosulfan,7.6,https://archive.epa.gov/pesticides/chemicalsearch/chemical/foia/web/pdf/079401/079401-123.pdf,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_endo_shuk84_uncertainty
Shukla1984,Omran & Shukla 1984,Methyldemeton,12.4,https://archive.epa.gov/pesticides/reregistration/web/pdf/odm_red.pdf,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_mede_shuk84_uncertainty
Shukla1984,Omran & Shukla 1984,Carbaryl,33.5,https://doi.org/10.1645/GE-2078.1,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_carb_shuk84_uncertainty
Tantawy2002,Tantawy et al 2002,Butachlor,202,https://archive.epa.gov/pesticides/reregistration/web/pdf/0177red.pdf,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq,muNq.tant.but_uncertainty
Tantawy2002,Tantawy et al 2002,Fluazifop-p-butyl,56.6,https://www.gpo.gov/fdsys/pkg/FR-2017-09-27/pdf/2017-20748.pdf,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq,muNq.tant.fpb_uncertainty
Tantawy2002,Tantawy et al 2002,Butachlor,202,https://archive.epa.gov/pesticides/reregistration/web/pdf/0177red.pdf,Herbicide,direct larvae,Schistosoma mansoni,cercariae,mortality,piC,piC.tant02_but.exp_unc
Tantawy2002,Tantawy et al 2002,Fluazifop-p-butyl,56.6,https://www.gpo.gov/fdsys/pkg/FR-2017-09-27/pdf/2017-20748.pdf,Herbicide,direct larvae,Schistosoma mansoni,cercariae,mortality,piC,piC.tant02_fpb.exp_unc
Tantawy2002,Tantawy et al 2002,Butachlor,202,https://archive.epa.gov/pesticides/reregistration/web/pdf/0177red.pdf,Herbicide,direct larvae,Schistosoma mansoni,miracidia,mortality,piM,piM.tant02_but.exp_unc
Tantawy2002,Tantawy et al 2002,Fluazifop-p-butyl,56.6,https://www.gpo.gov/fdsys/pkg/FR-2017-09-27/pdf/2017-20748.pdf,Herbicide,direct larvae,Schistosoma mansoni,miracidia,mortality,piM,piM.tant02_fpb.exp_unc
Tchounwou91,Tchounwou et al 1991,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Bulinus havanensis,,mortality,muNq,muNq_mal_tch91_uncertainty
Tchounwou91,Tchounwou et al 1991,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Bulinus havanensis,,reproduction,fNq,fNq_mal_tch91_uncertainty
Tchounwou91,Tchounwou et al 1991,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Planorbella trivolvis,,mortality,muNq,muNq_trivolvis_mal_tch91_uncertainty
Tchounwou91,Tchounwou et al 1991,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Planorbella trivolvis,,reproduction,fNq,fNq_trivolvis_mal_tch91_uncertainty
Tchounwou91,Tchounwou et al 1991,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Schistosoma mansoni,miracidia,mortality,piM,piM.tch91_mal_unc
Tchounwou91b,Tchounwou et al 1991b,Ammonium Phosphate,4400,PLACEHOLDER,Fertilizer,direct larvae,Schistosoma mansoni,miracidia,mortality,piM,piM.tch91_amm_unc
Tchounwou91b,Tchounwou et al 1991b,Urea,3.46,https://doi.org/10.4319/lo.1971.16.5.0732,Fertilizer,direct larvae,Schistosoma mansoni,miracidia,mortality,piM,piM.tch91_ure_unc
Tchounwou91b,Tchounwou et al 1991b,Ammonium Phosphate,4400,PLACEHOLDER,Fertilizer,direct larvae,Schistosoma mansoni,eggs,viability,vq,tch91_amm_v_unc
Tchounwou91b,Tchounwou et al 1991b,Urea,3.46,https://doi.org/10.4319/lo.1971.16.5.0732,Fertilizer,direct larvae,Schistosoma mansoni,eggs,viability,vq,tch91_ure_v_unc
Tchounwou92,Tchounwou et al 1992,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Schistosoma mansoni,cercariae,mortality,piC,piC.tch92_mal_unc
