"beta","lamda1","lamda2","p","negLL","lamda.twa","R0","prob"
1.63450254625936e-05,2.93271777406103e-06,0.000122569232996497,3.11420063151475e-07,14.9821231507476,4.70411299520299e-05,2.56589852659257,1.40936913250473e-06
1.79795280088529e-05,2.93271777406103e-06,0.000122569232996497,4.24930724331063e-07,14.6713396828822,4.70411299520299e-05,2.69113707819704,1.92307534801886e-06
1.96140305551123e-05,2.93271777406103e-06,0.000122569232996497,5.46736773959698e-07,14.4192983679707,4.70411299520299e-05,2.81080100656804,2.47432334649941e-06
2.12485331013716e-05,2.93271777406103e-06,0.000122569232996497,6.73204772501327e-07,14.2112162853778,4.70411299520299e-05,2.92557444331894,3.04666955820616e-06
2.2883035647631e-05,2.93271777406103e-06,0.000122569232996497,8.01481651679385e-07,14.0368037576362,4.70411299520299e-05,3.03601207973188,3.62720207784558e-06
2.45175381938904e-05,2.93271777406103e-06,0.000122569232996497,9.29426965075541e-07,13.8886976072932,4.70411299520299e-05,3.14257106095549,4.20623405646758e-06
1.47105229163342e-05,3.29930749581866e-06,0.000122569232996497,2.90752325509697e-07,15.050794047266,4.72725628571799e-05,2.44020567893187,1.31583478800471e-06
1.63450254625936e-05,3.29930749581866e-06,0.000122569232996497,4.27461631878496e-07,14.6654013025892,4.72725628571799e-05,2.57220263490075,1.93452927599793e-06
1.79795280088529e-05,3.29930749581866e-06,0.000122569232996497,5.80065268237823e-07,14.3601252082926,4.72725628571799e-05,2.69774888277049,2.62515547527463e-06
1.96140305551123e-05,3.29930749581866e-06,0.000122569232996497,7.42647505636442e-07,14.1130443252102,4.72725628571799e-05,2.81770681121874,3.36094103951978e-06
2.12485331013716e-05,3.29930749581866e-06,0.000122569232996497,9.10363710719206e-07,13.9094216351781,4.72725628571799e-05,2.93276223268909,4.11996099498587e-06
2.2883035647631e-05,3.29930749581866e-06,0.000122569232996497,1.07949114238747e-06,13.739020792317,4.72725628571799e-05,3.04347120127438,4.88536762691864e-06
2.45175381938904e-05,3.29930749581866e-06,0.000122569232996497,1.24729821763198e-06,13.5945307717968,4.72725628571799e-05,3.15029198527463,5.64479882628384e-06
1.47105229163342e-05,3.66589721757628e-06,0.000122569232996497,3.88943510188519e-07,14.7598317218975,4.75039957623299e-05,2.44617165936689,1.76021086117727e-06
1.63450254625936e-05,3.66589721757628e-06,0.000122569232996497,5.67252225878655e-07,14.3824617893124,4.75039957623299e-05,2.57849133045098,2.56716850355629e-06
1.79795280088529e-05,3.66589721757628e-06,0.000122569232996497,7.64274362193593e-07,14.0843389994266,4.75039957623299e-05,2.70434452230701,3.45881599258576e-06
