"beta","lamda1","lamda2","lamda.twa","R0","snail.prev","W1","W2","W3","W4","likelihood_range1","likelihood_range2","likelihood_range3","likelihood_range4","likelihood_range234","likelihood_range1234"
4e-06,5e-05,3e-04,0.000141750841750842,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,12.5589380499003,2.84686149320629,1.80749102199551e-91,0.166539966132017,4.33956854403652e-05,0.0222739248281248,1.60976238140932e-07,2.90963105194345e-98
4e-06,5e-05,4e-04,0.000178451178451178,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,18.5447908451308,3.46060160019795,1.80749102199551e-91,0.166539966132017,0.000456825158542996,0.107437350371058,8.17379562982139e-06,1.47740622165283e-96
4e-06,5e-05,5e-04,0.000215151515151515,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,25.2788753238201,4.06759957240034,1.80749102199551e-91,0.166539966132017,0.00362317028000425,0.294622163571963,0.000177775795934014,3.21328155078835e-95
4e-06,5e-05,6e-04,0.000251851851851852,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,32.6505642126542,4.65976541513274,1.80749102199551e-91,0.166539966132017,0.0173451795919628,0.466484221359414,0.00134751693335272,2.43562475902197e-94
4e-06,5e-05,7e-04,0.000288552188552189,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,40.5534671400339,5.23427264919537,1.80749102199551e-91,0.166539966132017,0.041200269589393,0.444024526008387,0.00304667051190721,5.50682959725074e-94
4e-06,6e-05,7e-05,6.36700336700337e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,3.10452133835663,2.6537586823743,3.22600303447545e-256,1.05441559855758e-05,3.93931487902479e-07,0.0121004320065382,5.02612625932737e-14,1.62142985642468e-269
4e-06,6e-05,8e-05,6.73400673400673e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,3.59263246563336,2.72064914595294,3.22600303447545e-256,1.05441559855758e-05,5.17199392128011e-07,0.0150419336439858,8.20301482304741e-14,2.6462950710998e-269
4e-06,6e-05,9e-05,7.1010101010101e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,4.09075774801125,2.78785005995154,3.22600303447545e-256,1.05441559855758e-05,6.80585898479971e-07,0.0185931901576938,1.33428523261156e-13,4.30440820926067e-269
4e-06,6e-05,1e-04,7.46801346801347e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,4.59877082661806,2.85532568017703,3.22600303447545e-256,1.05441559855758e-05,8.97383785665552e-07,0.0228488737705559,2.16199576395256e-13,6.97460489503401e-269
4e-06,6e-05,2e-04,0.000111380471380471,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,10.1984975698418,3.53824277442127,3.22600303447545e-256,1.05441559855758e-05,1.50190494617295e-05,0.12600294417227,1.99542294837667e-11,6.43724048652509e-267
