"","beta","lamda1","lamda2","lamda.twa","R0","snail.prev","W1","W2","W3","W4","likelihood_range1","likelihood_range2","likelihood_range3","likelihood_range4","likelihood_range234","likelihood_range1234"
"2052",5e-06,4e-05,8e-05,5.46801346801347e-05,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,2.35398177079597,1.21239710945553,1.38432606819051e-48,0.824570215971697,2.57568479138489e-07,2.23331388531051e-05,26.0743121278719,6.56611554178487e-60
"2053",5e-06,4e-05,9e-05,5.83501683501684e-05,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,2.70845055652201,1.26548606126358,1.38432606819051e-48,0.824570215971697,3.15103737274459e-07,2.9736594999796e-05,25.5863890221422,1.06957398960893e-59
"2054",5e-06,4e-05,1e-04,6.2020202020202e-05,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,3.0747472195747,1.31943620557958,1.38432606819051e-48,0.824570215971697,3.87403233377592e-07,3.96092784539475e-05,25.093139881137,1.75156481719462e-59
"2055",5e-06,4e-05,2e-04,9.87205387205387e-05,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,7.38058125000901,1.89509697284912,1.38432606819051e-48,0.824570215971697,3.83542050017832e-06,0.000645675418228613,20.0093380888707,2.8267882577552e-57
"2056",5e-06,4e-05,3e-04,0.000135420875420875,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,12.804477489081,2.50461777598589,1.38432606819051e-48,0.824570215971697,4.82511302729437e-05,0.00727373345459093,15.0554698605041,4.00618420436404e-55
"2057",5e-06,4e-05,4e-04,0.000172121212121212,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,19.2199425178073,3.11470630802147,1.38432606819051e-48,0.824570215971697,0.000577952045931843,0.0473968103629972,10.6981129814413,3.12684938511589e-53
"2058",5e-06,4e-05,5e-04,0.000208821548821549,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,26.4630881369731,3.70833278940486,1.38432606819051e-48,0.824570215971697,0.004895427178544,0.173186804839113,7.26573118747754,9.67768396017549e-52
"2059",5e-06,4e-05,6e-04,0.000245521885521885,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,34.3698495246774,4.27995118525706,1.38432606819051e-48,0.824570215971697,0.0224926044135495,0.368730932845007,4.98514977546471,9.46706498380085e-51
"2060",5e-06,4e-05,7e-04,0.000282222222222222,1.3086478677269,5.95118945537914,10.3182979590021,0.707540945990571,42.7974289112074,4.83001022758425,1.38432606819051e-48,0.824570215971697,0.0451781470756501,0.483691290441152,4.01634316499076,2.49438061740505e-50
"2061",5e-06,5e-05,7e-05,5.73400673400673e-05,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,3.2641129848372,2.3635892282284,1.06522301485274e-183,0.000640621118230312,4.30757417676848e-07,0.00436121639257384,27.4457973677236,1.28198278357817e-195
"2062",5e-06,5e-05,8e-05,6.1010101010101e-05,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,3.78611229736925,2.4332168483874,1.06522301485274e-183,0.000640621118230312,5.75624711413216e-07,0.00563483126446005,26.8996703624197,2.2134113758371e-195
"2063",5e-06,5e-05,9e-05,6.46801346801347e-05,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,4.32031395233885,2.50307938396618,1.06522301485274e-183,0.000640621118230312,7.7150296554575e-07,0.00723440703736148,26.356904556059,3.80874881703624e-195
"2064",5e-06,5e-05,1e-04,6.83501683501684e-05,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,4.86651802961025,2.57312562765932,1.06522301485274e-183,0.000640621118230312,1.03673110828393e-06,0.00922711689951581,25.8181189562236,6.52790679975809e-195
"2065",5e-06,5e-05,2e-04,0.000105050505050505,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,10.9467732941286,3.27441072555513,1.06522301485274e-183,0.000640621118230312,2.11959038525166e-05,0.0706944501077501,20.7641631728062,1.02253705204518e-192
"2066",5e-06,5e-05,3e-04,0.000141750841750842,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,18.0124747311668,3.9574303058841,1.06522301485274e-183,0.000640621118230312,0.000377864255154451,0.255452750673797,16.5987657105025,6.58700793502382e-191
"2067",5e-06,5e-05,4e-04,0.000178451178451178,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,25.8661458508445,4.60909467819416,1.06522301485274e-183,0.000640621118230312,0.00421630657278715,0.457681389863481,13.6034501011533,1.31685278726073e-189
"2068",5e-06,5e-05,5e-04,0.000215151515151515,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,34.3327042991762,5.22814942580948,1.06522301485274e-183,0.000640621118230312,0.0223760948480268,0.445401848728116,11.9616128127199,6.80108342095195e-189
"2069",5e-06,5e-05,6e-04,0.000251851851851852,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,43.2711920301629,5.81826315054576,1.06522301485274e-183,0.000640621118230312,0.0456678246220985,0.256185770859209,11.8012860707121,7.98375353054008e-189
"2070",5e-06,5e-05,7e-04,0.000288552188552189,1.46311279542375,8.83822156082488,18.4708561375528,1.46284797684527,52.5738979413698,6.38437679591888,1.06522301485274e-183,0.000640621118230312,0.0305705469818328,0.0929214173312205,13.2167917234325,1.93847777960602e-189
"3051",5.5e-06,4e-05,7e-05,5.1010101010101e-05,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,2.57929536797311,1.50790804052281,1.53608190420538e-74,0.285630901499246,2.92842996572423e-07,0.000104253667970573,25.4653675888001,1.33950935039377e-85
"3052",5.5e-06,4e-05,8e-05,5.46801346801347e-05,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,3.01078674810619,1.56953203235542,1.53608190420538e-74,0.285630901499246,3.73727706661619e-07,0.000141438857539548,24.9164362540496,2.31922881998177e-85
"3053",5.5e-06,4e-05,9e-05,5.83501683501684e-05,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,3.45589154509748,1.63181095467703,1.53608190420538e-74,0.285630901499246,4.79374912328393e-07,0.000191416015717154,24.3648991093182,4.02599413312771e-85
"3054",5.5e-06,4e-05,1e-04,6.2020202020202e-05,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,3.91446744509706,1.69467542894007,1.53608190420538e-74,0.285630901499246,6.17809281819588e-07,0.000258285019338943,23.8115877451137,7.00121170069892e-85
