Treatment,Dose,Time,Death,Replicate
Mal,101000,3,1,2
Mal,101000,3,1,2
Mal,101000,3,1,2
Mal,101000,3,1,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,2.07,0,0,2
Perm,2.07,0,0,2
Perm,2.07,24,1,2
Perm,2.07,48,1,2
Perm,2.07,96,1,2
Perm,4.41,0,0,2
Perm,4.41,0,0,2
Perm,4.41,0,0,2
Perm,4.41,0,0,2
Perm,4.41,24,1,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,8.55,0,0,2
Terb,8.55,0,0,2
Terb,8.55,0,0,2
Terb,8.55,0,0,2
Terb,8.55,96,1,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,171,0,0,2
Terb,171,24,1,2
Terb,171,96,1,2
Terb,171,120,1,2
Terb,171,240,1,2
,,,,
