Tank,Treat1,Treat2,Treat3,At,Ch,Fe,AC,AF,CF,ACF,A2,C2,F2,Block,Logger,Temp0,Temp1,Temp2,Temp4,Light0,Light1,Light2,Light4,Ph.F0.0,Ph.F0.1,Ph.QY.1,Ph.QY.1,Ph.F0.2,Ph.QY.2,Ph.F0.4,Ph.QY.4,Ph.F0.8,Ph.QY.8,Pe.F0.0,Pe.QY.0,Pe.F0.1,Pe.QY.1,Pe.F0.2,Pe.QY.2,Pe.F0.4,Pe.QY.4,Pe.F0.8,Pe.QY.8,TBgegg1,TBghatch1,TBgadult1,TBtegg1,TBthatch1,TBtadult1,TPhyegg1,TPhyhatch1,TPhyadult1,TBgegg2,TBghatch2,TBgadult2,TBtegg2,TBthatch2,TBtadult2,TPhyegg2,TPhyhatch2,TPhyadult2,TBgegg3,TBghatch3,TBgadult3,TBtegg3,TBthatch3,TBtadult3,TPhyegg3,TPhyhatch3,TPhyadult3,TBgegg4,TBghatch4,TBgadult4,TBtegg4,TBthatch4,TBtadult4,TPhyegg4,TPhyhatch4,TPhyadult4,TBgegg8,TBghatch8,TBgadult8,TBtegg8,TBthatch8,TBtadult8,TPhyegg8,TPhyhatch8,TPhyadult8,TBgE,TBgE,TBgH,TBgRepro,TBtE,TBtH,TBtRepro,TPhyE,TPhyH,TPhyRepro,TSnE,TSnH,TSnRepro,BgLive,BgInf,T.Bg,BtLive,BtInf,T.Bt,PhyLive,T.Phy,T.Snails,Snails.Live,P.all.24,P.all.24.surv,B.flu.24,B.flu.24.surv,P.all.end.surv,P.all.end,B.flu.end.surv,B.flu.end,Pred,PredSurv,Phyto,PerF0,PerQY,Snails,Algae
25,A 1x,A 1x,Atrazine,1,0,0,0,0,0,0,1,0,0,2,12,32.00941935,30.10665,31,30.85593939,1094,1425,1151.5,718.5454545,77,59,0,-4.003022834,52,0,147,0.5467,46,0,8382,0.3781,4680,0.3768,1572,0.1388,6387,0.4331,10980,0.4789,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1.386294361,0,3,8,0,8,2,0,2,13,0,13,13,1,22,0,0,16,0,29,67,13,0,3,0,7,0,3,1,6,-0.020545899,0.020545899,-0.090185777,-0.351176109,0.12464437,0.006953941,0.151526177
26,A 2x,A 2x,Atrazine,1,0,0,0,0,0,0,2,0,0,2,13,32.65709677,30.94775,31.4,31.32257576,404,652,916.6,822.3030303,64,78,0,-4.003022834,82,0,40,0,62,0,10070,0.3514,5855,0.3018,5174,0.2465,2485,0.4553,6017,0.4074,10,0,0,0,0,0,5,0,0,0,0,1,8,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,2,0,0,10,2.397895273,0,10,13,0,13,11,0,11,34,0,34,6,0,14,0,0,2,89,119,135,95,0,3,1,6,2,1,0,7,-0.046147891,0.046147891,-0.050343982,-0.259209354,0.124330779,0.046354189,0.22129271
27,S,Control,Control,0,0,0,0,0,0,0,0,0,0,3,1,32.497,30.504375,31.4,30.57443243,1345,873,1255.7,881.0810811,38,67,0,-4.003022834,108,0,85,0,51,0,13529,0.3881,12641,0.3249,9056,0.1296,4331,0.3498,5293,0.3721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693147181,0,1,0,0,0,0,0,0,1,0,1,5,0,11,0,0,0,0,2,13,5,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,0.020156805,0.091354721,-0.00295848,-0.000437815,-0.000824118
28,F 2x,F 2x,Fertilizer,0,0,1,0,0,0,0,0,0,2,3,2,32.25777419,30.104125,30.5,30.52816216,828,732,461.9,764.5405405,10,78,0,-4.003022834,120,0.1111,109,0.2045,61,0,8855,0.3963,8165,0.1977,5576,0.0447,8208,0.2983,9904,0.3002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,0.236669665,0.306079638,-0.103989069,0.001914595,0.090630729
29,A 2x,A 2x,Atrazine,1,0,0,0,0,0,0,2,0,0,3,3,32.70380645,30.4601875,31.4,30.87543243,1963,900,1010.1,643.2432432,66,87,0,-4.003022834,88,0,145,0.4377,62,0,4832,0.5684,6623,0.2976,2081,0.2295,6531,0.4587,8423,0.5376,2,0,1,2,0,0,13,0,0,1,0,0,19,0,0,3,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.609437912,0,4,23,0,23,18,0,18,45,0,45,0,0,4,0,0,0,0,0,4,0,1,2,0,7,2,1,0,7,-0.04584483,0.04584483,0.000532818,-0.304807672,0.134829933,0.002263026,0.143219912
30,F + C,F + C,F + C,0,1,1,0,0,1,0,0,1,1,3,4,32.29106452,29.7118125,30.4,31.52167568,1833,443,707.8,1572.324324,31,137,0.4009,-0.386939377,76,0,142,0.4044,2181,0.4217,8038,0.5421,3907,0.2738,7779,0.019,1267,0.4386,4498,0.3076,6,0,0,5,0,0,2,0,1,10,0,0,12,0,0,12,7,0,9,6,0,13,37,0,9,46,0,3,36,0,16,13,0,6,25,0,0,2,0,0,4,0,0,6,0,28,3.36729583,44,72,46,54,100,29,84,113,103,182,285,25,0,169,38,0,50,140,1689,1908,203,0,3,1,6,0,3,0,7,1.139602314,-1.139602314,0.123879565,0.184518739,-0.07211705,0.170244685,0.082926349
31,C 1x,C 1x,Chlorpyrifos,0,1,0,0,0,0,0,0,1,0,3,5,32.91067742,30.6149375,32.4,31.52997297,1459,722,1968.7,1098.378378,56,77,0,-4.003022834,70,0,85,0,43,0,8516,0.416,9117,0.2233,9851,0.1119,11006,0.2595,6543,0.4968,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,6,0,0,0,0,0,7,2,0,2,0,0,4,1.609437912,1,5,14,2,16,11,0,11,29,3,32,18,0,25,43,0,43,80,98,166,141,3,0,0,7,0,3,0,7,1.08036443,-1.08036443,-0.049395992,0.084538985,-0.024052022,0.115852476,-0.100676048
32,C + A,C + A,C + A,1,1,0,1,0,0,0,1,1,0,3,6,32.39432258,30.40021875,31.6,31.90281081,694,830,1159.1,1365.621622,56,56,0,-4.003022834,100,0,38,0,715,0.3638,7508,0.3251,4858,0.2918,4316,0.1551,1458,0.4533,7696,0.4957,7,0,1,2,0,1,2,0,0,6,0,0,5,1,0,7,0,1,7,0,0,6,0,0,5,2,0,4,0,0,2,6,0,2,6,0,0,0,0,0,1,0,0,0,0,24,3.218875825,0,24,15,8,23,16,8,24,55,16,71,43,0,46,188,1,189,310,363,598,541,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.000600481,-0.330809289,0.123057351,0.166103183,0.12756515
33,F 1x,F 1x,Fertilizer,0,0,1,0,0,0,0,0,0,1,3,7,32.6143871,30.07584375,31.4,30.95283784,1270,683,1354.3,918.7027027,54,41,0,-4.003022834,68,0,60,0,114,0.2822,9404,0.4588,8605,0.2757,10509,0.036,12253,0.3527,5270,0.3645,3,0,1,5,0,0,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.386294361,0,3,11,0,11,6,0,6,20,0,20,0,0,2,0,0,0,0,1,3,0,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.034098894,0.370160742,-0.079730295,0.014453358,0.112833279
34,A + F,A + F,A + F,1,0,1,0,1,0,0,1,0,1,3,8,33.1013871,30.0474375,31.5,31.21059459,2027,618,1611.4,773.8378378,44,57,0,-4.003022834,127,0.1458,81,0,213,0.5553,5783,0.4387,10780,0.2025,8730,0.099,13399,0.3437,1152,0.4352,4,0,0,3,1,0,6,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.302585093,0,9,8,1,9,7,0,7,24,1,25,0,0,18,0,0,0,0,3,21,0,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.221497411,0.602295752,0.034143839,6.45E-05,0.205002127
